"""log_map""",model,app_version,os_version,rom_version,android_version,1e1434dd98fa2dd9_version,channel,network_id,operators_id,app_name,app_package,event_id,log_tag,server_time,client_time,system_id,sim1_carrier,sim2_carrier,seqno,topic_name,ota_version,dayno,hour,brand,region
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,1,V11.2,PXXX00_11_A.27,12,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/20 02:24,1970/01/19 23:20,20161,46001,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,1,V11.3,PXXX00_11_A.27,12,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b9,launch_time,2016101,1970/01/20 02:06,1970/01/20 06:25,20160,46001,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,2,V11.3,PXXX00_11_A.26,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b10,launch_time,2016101,1970/01/20 02:25,1970/01/20 03:12,20161,46011,46000,0,os_uni_channel_20160,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,3,V11.2,PXXX00_11_A.25,11,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd9,10605205cb7ee0b12,launch_time,2016101,1970/01/20 04:31,1970/01/20 05:05,20160,46001,46011,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX01,3,V11.1,PXXX00_11_A.27,12,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd9,10605205cb7ee0b11,launch_time,2016101,1970/01/20 05:46,1970/01/20 01:23,20160,46000,46011,0,os_uni_channel_20161,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,3,V11.2,PXXX00_11_A.25,11,5.1.19238,Android,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b12,launch_time,2016101,1970/01/20 01:08,1970/01/20 03:50,20161,46000,46000,0,os_uni_channel_20160,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,3,V11.2,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:59,1970/01/20 06:19,20160,46011,46000,0,os_uni_channel_20160,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,3,V11.2,PXXX00_11_A.26,11,5.1.19238,Android,UNKNOWN,2,1e1434dd98fa2dd9,10605205cb7ee0b12,launch_time,2016101,1970/01/20 02:19,1970/01/20 05:28,20160,46001,46001,0,os_uni_channel_20161,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.1,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd7,10605205cb7ee0b10,launch_time,2016101,1970/01/20 06:23,1970/01/20 01:50,20160,46001,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,3,V11.3,PXXX00_11_A.25,11,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd9,10605205cb7ee0b12,launch_time,2016101,1970/01/20 01:59,1970/01/20 05:57,20160,46011,46001,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
