"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Afghanistan,4173,4147,0.6,103.0,59,28,111,1.0,40346927
Albania,3423,6302,-46.0,1192.0,27,41,-34,9.0,2872707
Algeria,3687,6361,-42.0,82.0,90,75,20,2.0,45132716
Andorra,469,850,-45.0,6054.0,2,2,0,26.0,77465
Angola,105,293,-64.0,3.0,2,1,100,0.1,34519502
Anguilla,61,112,-46.0,4008.0,0,1,-100,0.0,15220
Antigua and Barbuda,478,226,112.0,4817.0,3,4,-25,30.0,99242
Argentina,132316,236629,-44.0,2885.0,1406,1670,-16,31.0,45867424
Armenia,15486,23793,-35.0,5210.0,89,44,102,30.0,2972215
Aruba,185,328,-44.0,1721.0,3,2,50,28.0,107500
Australia,169452,207230,-18.0,6523.0,371,489,-24,14.0,25978978
Austria,215002,228649,-6.0,23654.0,146,143,2,16.0,9089634
Azerbaijan,44584,44864,-0.6,4334.0,179,164,9,17.0,10287182
Bahamas,148,240,-38.0,371.0,13,7,86,33.0,399329
Bahrain,40500,53548,-24.0,22535.0,13,6,117,7.0,1797194
Bangladesh,43455,72068,-40.0,260.0,211,233,-9,1.0,167346486
Barbados,3237,4228,-23.0,11242.0,13,6,117,45.0,287945
Belarus,55311,40307,37.0,5857.0,106,107,-1,11.0,9444288
Belgium,108920,203041,-46.0,9332.0,388,282,38,33.0,11671324
Belize,1339,2894,-54.0,3271.0,2,1,100,5.0,409312
Benin,54,48,13.0,4.0,0,0,0,0.0,12636863
Bermuda,188,265,-29.0,3037.0,2,2,0,32.0,61905
Bhutan,1366,1409,-3.0,1739.0,1,0,100,1.0,785367
Bolivia,10923,20531,-47.0,916.0,151,231,-35,13.0,11930828
Bosnia and Herzegovina,7680,9463,-19.0,2365.0,296,353,-16,91.0,3247759
Botswana,3324,4131,-20.0,1369.0,10,12,-17,4.0,2428469
Brazil,935994,1151032,-19.0,4353.0,6193,5355,16,29.0,215006645
British Virgin Islands,158,30,427.0,5171.0,10,2,400,327.0,30557
Brunei,5840,1676,248.0,13145.0,0,0,0,0.0,444263
Bulgaria,39506,51483,-23.0,5756.0,645,628,3,94.0,6863707
Burkina Faso,38,59,-36.0,2.0,3,6,-50,0.1,21830397
Burundi,238,239,-0.4,19.0,0,0,0,0.0,12463509
