idx,epoch,weight l2 p0,weight l2 p1,weight l2 p2,weight l2 p3,weight l2 p4,weight l2 p5,weight l2 p6,weight l2 p7,weight l2 p8,weight l2 p9,weight l2 p10,weight l2 p11,weight l2 p12,weight l2 p13,weight l2 p14,weight l2 p15,weight l2 p16,weight l2 p17,weight l2 p18,weight l2 p19,weight l2 p20,weight l2 p21,weight l2 p22,weight l2 p23,weight l2 p24,weight l2 p25,weight l2 p26,weight l2 p27,weight l2 p28,weight l2 p29,weight l2 p30,weight l2 p31,weight l2 p32,weight l2 p33,weight l2 p34,weight l2 p35,weight l2 p36,weight l2 p37,weight l2 p38,weight l2 p39,weight l2 p40,weight l2 p41,weight l2 p42,weight l2 p43,weight l2 p44,weight l2 p45,weight l2 p46,weight l2 p47,weight l2 p48,weight l2 p49,weight l2 p50,weight l2 p51,weight l2 p52,weight l2 p53,weight l2 p54,weight l2 p55,weight l2 p56,weight l2 p57,weight l2 p58,weight l2 p59,weight l2 p60,weight l2 p61,weight l2 p62,weight l2 p63,weight l2 p64,weight l2 p65,weight l2 p66,weight l2 p67,weight l2 p68,weight l2 p69,weight l2 p70,weight l2 p71,weight l2 p72,weight l2 p73,weight l2 p74,weight l2 p75,weight l2 p76,weight l2 p77,weight l2 p78,weight l2 p79,weight l2 p80,weight l2 p81,weight l2 p82,weight l2 p83,weight l2 p84,weight l2 p85,weight l2 p86,weight l2 p87,weight l2 p88,weight l2 p89,weight l2 p90,weight l2 p91,weight l2 p92,weight l2 p93,weight l2 p94,weight l2 p95,weight l2 p96,weight l2 p97,weight l2 p98,weight l2 p99,configuration No
0,0,-0.0828821435570716,0.0428243800997734,-0.0215609297156333,0.0235970765352249,0.0684688910841941,-0.0312039405107498,-0.0724312663078308,0.0845279768109321,-0.0902308151125907,0.0193817839026451,-0.0670740157365799,0.0520871207118034,-0.0257859677076339,-0.095161996781826,0.0515785291790962,-0.0539287216961383,0.0346860811114311,-0.0455448403954505,0.0409298613667488,-0.016798973083496,-0.0911106243729591,0.0008898749947547,-0.0364741832017898,0.0428343936800956,-0.0897494480013847,0.0042681917548179,-0.0328640192747116,-0.0084081888198852,0.0487030372023582,0.0089803785085678,-0.0800550132989883,0.0293765291571617,-0.082558736205101,0.0394870862364769,0.0808897987008094,0.0396109148859977,-0.081432320177555,0.0607042834162712,-0.0140636414289474,0.0959352329373359,0.0877178385853767,0.0079124420881271,-0.0086749419569969,-0.0833293944597244,-0.0562780387699604,0.0894212648272514,0.0161656141281127,0.0632852241396904,0.0667567327618599,-0.0625856220722198,0.0527888014912605,-0.054649531841278,-0.0340638756752014,-0.0140614658594131,-0.0315249934792518,-0.0168646350502967,0.0375890061259269,0.0813897475600242,0.0317665711045265,-0.0663267523050308,0.0997523739933967,-0.0024224892258644,-0.0141539350152015,-0.0332659631967544,-0.0989812389016151,-0.0006299391388893,0.0292625054717063,0.073007620871067,0.0066484212875366,-0.0901070833206176,0.0918957069516182,0.047367624938488,-0.0622961297631263,-0.025478757917881,-0.0919530168175697,0.0101325660943984,-0.0902096554636955,-0.0203820317983627,0.0992529317736625,-0.0458458922803401,-0.0203536599874496,-0.0902937054634094,-0.0418840758502483,-0.0624963156878948,0.0041998848319053,-0.0775265544652938,0.0271292850375175,-0.012046456336975,0.0864966586232185,0.0665062591433525,0.0820504203438758,-0.0643347054719924,0.0803413018584251,0.0928302630782127,-0.0112980008125305,-0.0745014995336532,-0.0452759750187397,-0.0127956420183181,0.0772121474146843,0.0827985480427742,0
1,1,-0.0857696160674095,0.0645301640033721,-0.0171545501798391,0.0413713715970516,0.0853025689721107,-0.0266540385782718,-0.0727239623665809,0.1097625494003295,-0.0984504893422126,0.0190608818084001,-0.0669865608215332,0.0517018064856529,-0.0252386294305324,-0.098333440721035,0.0791220590472221,-0.0580752193927764,0.0343739129602909,-0.0541057474911212,0.0428676381707191,-0.0106748342514038,-0.0913223326206207,0.0057569337077438,-0.0366139635443687,0.0651791095733642,-0.0988974273204803,0.0108654163777828,-0.0493687130510807,-0.0129363993182778,0.0494559071958065,0.0089338803663849,-0.0853851959109306,0.0337999835610389,-0.0901213884353637,0.050213735550642,0.0791988149285316,0.0380257256329059,-0.0814665257930755,0.0729681476950645,-0.0162509977817535,0.1058038175106048,0.119484394788742,0.0189412087202072,-0.0089285736903548,-0.0848447754979133,-0.0595238879323005,0.1115636751055717,0.0297507401555776,0.0753500014543533,0.0728813931345939,-0.0779763087630271,0.0864609405398368,-0.054654274135828,-0.0407153517007827,-0.0145347286015748,-0.0391834825277328,0.0010905374074354,0.0600496381521225,0.0823337063193321,0.0317746773362159,-0.0663672611117363,0.1447860598564148,-0.0058300239033997,-0.0216993410140275,-0.0332793407142162,-0.1015946343541145,0.0322536379098892,0.0280226878821849,0.1083472594618797,0.0019712860230356,-0.0899659246206283,0.0975418537855148,0.0631487518548965,-0.0573756620287895,-0.0254248362034559,-0.0928807631134986,0.01174758374691,-0.1001834794878959,-0.0039811595343053,0.134367898106575,-0.0464181788265705,-0.0201750714331865,-0.0948351025581359,-0.0457453317940235,-0.0687074810266494,0.0075237583369016,-0.0787502378225326,0.0249935444444417,-0.0089282328262925,0.1176285296678543,0.0788797810673713,0.1111247763037681,-0.0650897026062011,0.0799799859523773,0.0902017280459404,-0.0103841973468661,-0.0836051777005195,-0.0415399372577667,-0.0128567032516002,0.0801917240023613,0.088351123034954,0
2,2,-0.092980146408081,0.0841210484504699,-0.0169802606105804,0.0719307512044906,0.0954757928848266,-0.0318956524133682,-0.0782029330730438,0.1501815170049667,-0.1234896779060363,0.0190607346594333,-0.0676665604114532,0.0516238436102867,-0.0252883546054363,-0.1275289058685302,0.1055601760745048,-0.0836823582649231,0.0241648647934198,-0.0876250192523002,0.0295438021421432,-0.0230198018252849,-0.091392658650875,0.0074102990329265,-0.0366286747157573,0.089913360774517,-0.1246905848383903,0.0115622542798519,-0.0945800244808197,-0.0272464882582426,0.0472506545484066,0.0005067639285698,-0.1009151488542556,0.0325999818742275,-0.1244143173098564,0.0669271796941757,0.0788592100143432,0.0313072130084037,-0.0814782083034515,0.0944009646773338,-0.0310973282903432,0.1294714659452438,0.1831704974174499,0.0282854568213224,-0.0158663298934698,-0.0917196124792099,-0.0850930735468864,0.1479628086090088,0.0434865653514862,0.1017835885286331,0.0974940434098243,-0.1155732721090316,0.1363944411277771,-0.054654274135828,-0.075391300022602,-0.0256888475269079,-0.0543288178741931,0.0039702774956822,0.0752456933259964,0.0844268277287483,0.031754907220602,-0.0700643584132194,0.2018936574459076,-0.0097192116081714,-0.0325809307396411,-0.0332809574902057,-0.1256309002637863,0.0811325460672378,0.0279384385794401,0.1673982590436935,-0.0196580588817596,-0.0899657756090164,0.1191941350698471,0.0788929089903831,-0.0719326362013816,-0.025424825027585,-0.0990821942687034,0.0008772292057983,-0.1249768286943435,0.0133471246808767,0.1901578307151794,-0.0494514554738998,-0.0201767701655626,-0.124805137515068,-0.0769103169441223,-0.1022587344050407,0.0037116010207682,-0.0841867253184318,0.0190773662179708,-0.0203392710536718,0.1703540384769439,0.0960060879588127,0.1581548005342483,-0.0708585157990455,0.0875020995736122,0.0886779353022575,-0.0103273605927824,-0.1067636236548423,-0.0413680486381053,-0.0128579149022698,0.1208850219845771,0.1135605201125145,0
3,3,-0.097806841135025,0.0866454392671585,-0.0169649459421634,0.0802689343690872,0.0997216776013374,-0.0360445268452167,-0.0828211233019828,0.1606203019618988,-0.1375484317541122,0.0190607346594333,-0.0679493173956871,0.0514996610581874,-0.0253025535494089,-0.1496921777725219,0.1115477457642555,-0.1029163673520088,0.0175915826112031,-0.1110749542713165,0.0161989331245422,-0.027335425838828,-0.0913763344287872,-0.0002891002513933,-0.0366286747157573,0.0958040356636047,-0.1433475464582443,0.0101507166400551,-0.1103136166930198,-0.0349858291447162,0.0457872524857521,-0.0032908008433878,-0.1103353798389434,0.0291940979659557,-0.1391008794307708,0.0682799443602562,0.0787861943244934,0.0252056941390037,-0.0814782083034515,0.1019070595502853,-0.0379983559250831,0.1350418776273727,0.1999188661575317,0.0286484528332948,-0.0202447101473808,-0.0953940898180008,-0.1058486104011535,0.1569294333457946,0.049649141728878,0.1136655062437057,0.1051343753933906,-0.1406914740800857,0.1476699560880661,-0.054654274135828,-0.0914685130119323,-0.0317863747477531,-0.0643887594342231,0.001860553282313,0.0827181860804557,0.0850761383771896,0.031754907220602,-0.0744120925664901,0.2134114354848861,-0.0164559800177812,-0.0388070978224277,-0.0332810431718826,-0.1439709961414337,0.0953002795577049,0.0279358401894569,0.1834744811058044,-0.0320494286715984,-0.0899657756090164,0.1224395856261253,0.087890014052391,-0.0833583325147628,-0.025424825027585,-0.1078739538788795,-0.0067930230870842,-0.1406031548976898,0.0134496074169874,0.2077834904193878,-0.0514644384384155,-0.0201767701655626,-0.1431768983602523,-0.0955754369497299,-0.1222141087055206,-0.0007814939599484,-0.0939891934394836,0.0123456539586186,-0.0249793082475662,0.1909747570753097,0.0971039906144142,0.1761083602905273,-0.0720224380493164,0.0960894450545311,0.0849383622407913,-0.0144529053941369,-0.1217471584677696,-0.0414085313677787,-0.0128579149022698,0.1386829018592834,0.1262021362781524,0
4,4,-0.1017607226967811,0.0867929607629776,-0.0169780831784009,0.0805988386273384,0.1104179099202156,-0.0396241880953311,-0.0857361927628517,0.1681842058897018,-0.1455792486667633,0.0190607346594333,-0.0680171623826026,0.0514929182827472,-0.0253172069787979,-0.1640707552433014,0.1288584768772125,-0.1164720207452774,0.0122428676113486,-0.126844584941864,0.0006889028591103,-0.028300380334258,-0.0913765579462051,-0.0072964979335665,-0.0366286747157573,0.1068164259195327,-0.1551444083452224,0.0075657512061297,-0.1195142790675163,-0.035106424242258,0.0483520478010177,-0.0046991379931569,-0.1134203970432281,0.0286393743008375,-0.1406709849834442,0.0662537887692451,0.0787741243839263,0.0210043527185916,-0.0814782083034515,0.103679209947586,-0.0438525676727294,0.138972982764244,0.2121438384056091,0.026391539722681,-0.0237880554050207,-0.0978411585092544,-0.1188720539212226,0.1663811206817627,0.0600523389875888,0.121405117213726,0.1114156767725944,-0.1590015292167663,0.1524162143468856,-0.054654274135828,-0.0916692018508911,-0.0340389385819435,-0.0711545571684837,0.0077007771469652,0.0927728042006492,0.0855845212936401,0.031754907220602,-0.074307732284069,0.2198296785354614,-0.0240041576325893,-0.0354955047369003,-0.0332731008529663,-0.1631665378808975,0.1088930070400238,0.0279348790645599,0.1894419640302658,-0.0367872677743434,-0.0899657756090164,0.1277675479650497,0.1004000604152679,-0.086127832531929,-0.025424825027585,-0.1137969642877578,0.0003196375910192,-0.1511764526367187,0.0176351405680179,0.2192758172750473,-0.0510911159217357,-0.0201767701655626,-0.1509584933519363,-0.1081358566880226,-0.1367480754852295,-0.0078657604753971,-0.1069757044315338,0.0061357654631137,-0.0227605793625116,0.2061807811260223,0.093477725982666,0.1884627938270568,-0.0701582282781601,0.1037589982151985,0.083278089761734,-0.0190929863601923,-0.1291179805994033,-0.0419734679162502,-0.0128579149022698,0.1532381772994995,0.1381137073040008,0
5,5,-0.1066358312964439,0.0831837877631187,-0.0169340185821056,0.0756028741598129,0.110972836613655,-0.039705816656351,-0.0874331071972847,0.1591148823499679,-0.1572914123535156,0.019049447029829,-0.0681868195533752,0.0514911971986293,-0.0253602620214223,-0.1711347103118896,0.124224454164505,-0.1229524686932563,0.0146806892007589,-0.1434010863304138,-0.0043896632269024,-0.0315929017961025,-0.0913765579462051,-0.0098923444747924,-0.0366286747157573,0.0991877391934394,-0.1585555672645568,0.0018336647190153,-0.1243752762675285,-0.0436999909579753,0.0320614017546176,-0.0130904763936996,-0.1145489513874054,0.025031054392457,-0.1462325751781463,0.0607913509011268,0.0787255018949508,0.0202033519744873,-0.0814974829554557,0.0930832177400589,-0.045096855610609,0.1371046602725982,0.2029110491275787,0.0201865080744028,-0.024871464818716,-0.1002560257911682,-0.1415216475725174,0.1563657373189926,0.0639389976859092,0.1072866767644882,0.1123486682772636,-0.1659358441829681,0.1435339599847793,-0.054654274135828,-0.0983181297779083,-0.0397248938679695,-0.0819854363799095,0.0057247872464358,0.0892118662595748,0.0862100422382354,0.0316078923642635,-0.0737811103463172,0.2168455272912979,-0.0300324223935604,-0.0390192084014415,-0.0332576446235179,-0.1837193369865417,0.108869269490242,0.0279347598552703,0.18256576359272,-0.0372942611575126,-0.0899548232555389,0.1193318888545036,0.1012692376971244,-0.086555615067482,-0.025424825027585,-0.1182633861899375,-0.0070088044740259,-0.1543275117874145,0.0180625617504119,0.2140945196151733,-0.0518348403275013,-0.0201767701655626,-0.1601265966892242,-0.1261230707168579,-0.1426490694284439,-0.0192094203084707,-0.1210446208715438,-0.0005564616294577,-0.0393936336040496,0.2054489850997924,0.0867581591010093,0.1886623501777649,-0.0715929791331291,0.0977754518389701,0.0829894915223121,-0.0182873830199241,-0.1479576230049133,-0.0479504950344562,-0.0128579149022698,0.1536532044410705,0.143567606806755,0
6,6,-0.1081979349255561,0.0850838422775268,-0.0169013701379299,0.0755021274089813,0.1180659905076026,-0.0391157530248165,-0.0857065021991729,0.1675415486097335,-0.1565054059028625,0.019049447029829,-0.0683888345956802,0.0514907166361808,-0.0253656897693872,-0.172811821103096,0.1335245966911316,-0.1251461952924728,0.013888930901885,-0.1450275778770446,-0.0073531125672161,-0.0315608568489551,-0.0913765579462051,-0.0103517137467861,-0.0366286747157573,0.1049606949090957,-0.1599931716918945,0.001342718489468,-0.1251995116472244,-0.0413046851754188,0.0315662734210491,-0.0105921924114227,-0.1143333688378334,0.0258061494678258,-0.1450506746768951,0.0610993951559066,0.0786526873707771,0.020896166563034,-0.0814979970455169,0.0914835631847381,-0.04675779864192,0.1402776837348938,0.2106458693742752,0.0201752558350563,-0.0260479170829057,-0.1000597178936004,-0.1415759474039077,0.1642317026853561,0.0696384012699127,0.1098375916481018,0.1166557595133781,-0.1683774292469024,0.1470019817352295,-0.054654274135828,-0.0943046137690544,-0.0379134193062782,-0.082631379365921,0.0109107000753283,0.093904323875904,0.0866026654839515,0.0316078700125217,-0.0726464167237281,0.2234152555465698,-0.0303444676101207,-0.0354699082672596,-0.0332587547600269,-0.1890309751033783,0.117861159145832,0.0279347598552703,0.1870948076248169,-0.034958429634571,-0.0899643823504448,0.1242345720529556,0.1084437817335128,-0.0830893889069557,-0.025424825027585,-0.1200553625822067,-3.729497620952316e-06,-0.1546840816736221,0.023004874587059,0.2212559580802917,-0.0518305040895938,-0.0201767701655626,-0.1605574190616607,-0.1264838427305221,-0.1449402719736099,-0.022672226652503,-0.1232546344399452,-0.0042670741677284,-0.0348395705223083,0.2106127887964248,0.0875880047678947,0.1935183256864547,-0.0709864273667335,0.10148236900568,0.0830256640911102,-0.0183982606977224,-0.1491803377866745,-0.0489133410155773,-0.0128579149022698,0.1583665013313293,0.1487239301204681,0
7,7,-0.1097361072897911,0.0880578160285949,-0.0169044937938451,0.0735904052853584,0.1243752017617225,-0.0390781313180923,-0.0849195644259452,0.1723861694335937,-0.157483696937561,0.0190493818372488,-0.0683934390544891,0.051487248390913,-0.0253651272505521,-0.1727924644947052,0.1351639926433563,-0.1256840080022812,0.0182786826044321,-0.1456808745861053,-0.0060755456797778,-0.0331023409962654,-0.0913765579462051,-0.007319645024836,-0.0366286747157573,0.1056360751390457,-0.1604101657867431,0.0004043240624014,-0.1230605691671371,-0.0435398966073989,0.025640295818448,-0.0114320861175656,-0.1143292784690857,0.0281648356467485,-0.145956203341484,0.0621811300516128,0.0782441645860672,0.021361194550991,-0.0814981460571289,0.0883363634347915,-0.0470415912568569,0.1439973264932632,0.2150712013244629,0.0218119733035564,-0.0272617451846599,-0.0990953594446182,-0.146948903799057,0.165807843208313,0.0743851214647293,0.1049114242196083,0.1223042607307434,-0.1645081043243408,0.1486109793186187,-0.0546542778611183,-0.0936193093657493,-0.0391317941248416,-0.0874198302626609,0.0134269576519727,0.0951908454298973,0.0866167321801185,0.0316076092422008,-0.0715927258133888,0.2297883182764053,-0.0306910928338766,-0.0387151278555393,-0.0332745984196662,-0.1950518041849136,0.121572270989418,0.0279347598552703,0.1915618777275085,-0.0305410083383321,-0.089940421283245,0.1260769218206405,0.110829085111618,-0.0764098018407821,-0.025424825027585,-0.1231059655547142,-0.0002172916429117,-0.152031734585762,0.0270831156522035,0.2252751737833023,-0.0514129884541034,-0.0201767701655626,-0.16294527053833,-0.1299249529838562,-0.1430905610322952,-0.025834385305643,-0.1260720491409301,-0.0056538726203143,-0.0377732664346694,0.2117063105106353,0.0901252329349517,0.1961064636707306,-0.072125531733036,0.1010808944702148,0.0832797139883041,-0.0158745814114809,-0.1564426571130752,-0.0508435703814029,-0.0128579149022698,0.1581723690032959,0.1535979807376861,0
8,8,-0.1094921752810478,0.0867793038487434,-0.0168500673025846,0.0710457861423492,0.1334439665079116,-0.0386242605745792,-0.0852593705058097,0.1741710305213928,-0.1589370369911193,0.0190493483096361,-0.0683977529406547,0.0514828823506832,-0.025365175679326,-0.1703563928604126,0.133809208869934,-0.1265612095594406,0.0217853318899869,-0.1486321836709976,0.0005391924642026,-0.0313623547554016,-0.0913765579462051,-0.0061440444551408,-0.0366286747157573,0.1042142361402511,-0.1612808257341385,0.0018025466706603,-0.1233057826757431,-0.0501961670815944,0.0222365446388721,-0.0159443784505128,-0.1151534095406532,0.0288670063018798,-0.1496994793415069,0.0651657506823539,0.0780119970440864,0.0226110648363828,-0.0814988389611244,0.0899507626891136,-0.0470142066478729,0.1441702544689178,0.2156320661306381,0.0216940157115459,-0.0268882736563682,-0.1011929661035537,-0.1549001485109329,0.1628054529428482,0.0790599435567855,0.1028987467288971,0.1251101344823837,-0.1605167537927627,0.1489861160516739,-0.0546542927622795,-0.0955152288079261,-0.0426676645874977,-0.0950237214565277,0.0117124263197183,0.094103917479515,0.086646445095539,0.0316062644124031,-0.0716863572597503,0.2319972813129425,-0.03322684019804,-0.0433230735361576,-0.0332903899252414,-0.1963271349668502,0.1215472444891929,0.0279347598552703,0.194190427660942,-0.0264416318386793,-0.089901715517044,0.1269335597753524,0.1118622347712516,-0.0757881700992584,-0.025424825027585,-0.1242700740694999,-0.0066960304975509,-0.1503808796405792,0.02443677932024,0.2294214963912964,-0.0521076396107673,-0.0201767701655626,-0.1660121828317642,-0.1312662363052368,-0.1409442573785781,-0.0247348416596651,-0.1278193444013595,-0.0032575544901192,-0.041819155216217,0.2145342677831649,0.0935603454709053,0.199014812707901,-0.0724455192685127,0.1007224321365356,0.0833168029785156,-0.0161784514784812,-0.1617328822612762,-0.0508086420595645,-0.0128579149022698,0.1584419906139373,0.1562708765268325,0
9,9,-0.1093594282865524,0.0839445814490318,-0.0168742686510086,0.0711517035961151,0.1290456354618072,-0.0394171923398971,-0.0885209515690803,0.1767051219940185,-0.1586418151855468,0.0190492495894432,-0.0683986321091651,0.0514772608876228,-0.0253652669489383,-0.1712472587823867,0.1315523236989975,-0.1287794709205627,0.0193473640829324,-0.1499230116605758,-0.0019934857264161,-0.0339286141097545,-0.0913765579462051,-0.0087366122752428,-0.0366286747157573,0.1072934716939926,-0.1638069599866867,0.0029034987092018,-0.127070352435112,-0.0536086000502109,0.0177789200097322,-0.0202419888228178,-0.1192676201462745,0.0286347270011901,-0.1582303643226623,0.0656292364001274,0.077893242239952,0.0226679537445306,-0.0814989656209945,0.0905788317322731,-0.0491493754088878,0.1440182477235794,0.2134165614843368,0.0183967351913452,-0.0294672008603811,-0.1043674647808075,-0.156760036945343,0.163091778755188,0.0750924348831176,0.1021065041422844,0.1237563118338584,-0.1639053523540496,0.1515156477689743,-0.0546542927622795,-0.1025293096899986,-0.0447877869009971,-0.1015761643648147,0.0051134475506842,0.0890709459781646,0.0863687843084335,0.0316056944429874,-0.0737267285585403,0.2327479869127273,-0.0357720479369163,-0.0441223159432411,-0.0332379080355167,-0.1993706226348877,0.1234601140022277,0.0279347598552703,0.1951308697462082,-0.0265286434441804,-0.0898721888661384,0.126567468047142,0.1115286722779274,-0.0802992433309555,-0.025424825027585,-0.1266763359308242,-0.0119989542290568,-0.154630646109581,0.0238170251250267,0.2289916276931762,-0.0545793175697326,-0.0201767701655626,-0.1675283163785934,-0.1336191743612289,-0.1421647816896438,-0.0245951768010854,-0.1291045397520065,-0.0034615704789757,-0.0440728031098842,0.2164273411035537,0.0960129722952842,0.1990965157747268,-0.0754549354314804,0.0982259213924408,0.0831612721085548,-0.0195314418524503,-0.1635745167732238,-0.0512060225009918,-0.0128579149022698,0.1601891368627548,0.1564583331346511,0
