Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4,Asia - Southern,7752117,7840151,7935996,8039684,8151316,8270992,8398873,8535157,8680097,8833947,8996967,9169406,9351442,9543200,9744772,9956318,10174840,10399936,10637064,10893772,11173654,11475450,11791222,12108963,12412960,12689164,12943093,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Albania,8,Europe - Southern,1263164,1287499,1316090,1348113,1382898,1419991,1459115,1500180,1543256,1588506,1636091,1685926,1737675,1790571,1843649,1896175,1947836,1998743,2049214,2099738,2150704,2202186,2254058,2306284,2358852,2411733,2464981,2518685,2572852,2627506,2682697,2737018,2790284,2844867,2904142,2969671,3044201,3124892,3200972,3257913,3286070,3280397,3245887,3195196,3146518,3112923,3098699,3099747,3110699,3122700,3129246,3129701,3126183,3118017,3104893,3086810,3063021,3033993,3002683,2973044,2948029,2928601,2914091,2903788,2896307,2890524,2886427,2884169,2882735,2880913,2877800
Algeria,12,Africa - Northern,8872250,9023263,9186150,9364381,9560147,9774280,10006145,10253777,10514077,10783228,11057864,11336336,11619828,11912800,12221675,12550880,12902626,13275020,13663581,14061724,14464992,14872253,15285992,15709831,16149018,16607706,17085799,17582899,18102266,18647801,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
American Samoa,16,Oceania - Polynesia,18941,19287,19546,19699,19758,19748,19712,19671,19690,19827,20127,20605,21246,22029,22850,23675,24473,25235,25980,26698,27362,27982,28564,29103,29595,30045,30455,30834,31262,31842,32648,33697,34969,36413,37946,39521,41114,42741,44346,45894,47351,48682,49900,51025,52099,53158,54209,55227,56180,57049,57816,58496,59077,59495,59684,59557,59109,58367,57490,56675,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197
Andorra,20,Europe - Southern,6198,6693,7251,7859,8533,9231,9984,10778,11614,12495,13410,14378,15379,16407,17466,18542,19646,20760,21886,23053,24275,25571,26885,28232,29515,30705,31782,32769,33744,34825,36063,37498,39115,40854,42706,44593,46520,48459,50433,52452,54508,56666,58882,60974,62676,63860,64363,64318,64140,64368,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
Angola,24,Africa - Middle,4548021,4616552,4713160,4823330,4935956,5043251,5140910,5228005,5306538,5380718,5454938,5531451,5608499,5679409,5734995,5770573,5781305,5774440,5771973,5803677,5890360,6041239,6248965,6497283,6761623,7023994,7279630,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
Anguilla,660,America - Caribbean,5122,5317,5477,5598,5705,5781,5846,5901,5939,5987,6020,6090,6141,6207,6283,6360,6434,6520,6608,6690,6773,6854,6949,7023,7101,7161,7202,7252,7285,7296,7284,7249,7194,7145,7182,7292,7512,7842,8222,8582,8894,9138,9333,9491,9661,9868,10117,10388,10684,10979,11247,11520,11756,11993,12230,12442,12660,12862,13056,13248,13436,13612,13794,13952,14114,14279,14435,14588,14738,14872,15002
Antigua and Barbuda,28,America - Caribbean,45515,46541,47385,48135,48876,49648,50464,51360,52280,53214,54132,55005,55849,56701,57641,58699,59912,61240,62523,63553,64184,64354,64134,63649,63108,62671,62353,62162,62038,61948,61861,61789,61780,61779,61784,61785,61754,61713,61758,62007,62533,63363,64459,65777,67201,68672,70176,71707,73219,74674,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
Argentina,32,America - South,17037910,17390378,17742980,18094290,18443313,18789415,19132405,19472473,19810165,20146307,20481781,20817270,21153042,21488916,21824427,22159644,22494031,22828872,23168268,23517613,23880564,24259564,24653172,25056475,25462305,25865775,26264681,26661397,27061041,27471046,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40895751,41320497,41755188,42196034,42637508,43075416,43508459,43937143,44361150,44780675,45195777
Armenia,51,Asia - Western,1353502,1381870,1418275,1461425,1510178,1563512,1620594,1680713,1743306,1807908,1874119,1941498,2009524,2077584,2145004,2211316,2276038,2339133,2401142,2462938,2525067,2587716,2650484,2712780,2773750,2832752,2889583,2944375,2997419,3049107,3099759,3148096,3193696,3238592,3285593,3335935,3392264,3451947,3504667,3536473,3538164,3505249,3442820,3363111,3283664,3217349,3168213,3133081,3108691,3089020,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
